haplotype	pfama1.000_f0.607719	pfama1.001_f0.650001	pfama1.002_f0.676706	pfama1.003_f0.598627	pfama1.004_f0.552798	pfama1.005_f0.502712	pfama1.006_f0.376906	pfama1.007_f0.65369	pfama1.008_f0.408763	pfama1.009_f0.366042	pfama1.010_f0.56763	pfama1.011_f0.406993	pfama1.012_f0.561713	pfama1.013_f0.342671	pfama1.014_f0.49221	pfama1.015_f0.413024	pfama1.016_f0.864882	pfama1.017_f0.384541	pfama1.018_f0.370937	pfama1.019_f0.585062	pfama1.020_f0.404439	pfama1.021_f0.117351	pfama1.022_f0.572813	pfama1.023_f0.221545	pfama1.024_f0.440657	pfama1.025_f0.809122	pfama1.026_f0.38486	pfama1.027_f0.567144	pfama1.028_f0.513814	pfama1.029_f0.43168	pfama1.030_f0.324642	pfama1.031_f0.238997	pfama1.032_f1	pfama1.033_f0.9986	pfama1.034_f0.907821	pfama1.035_f0.625184	pfama1.036_f0.19347	pfama1.037_f0.142287	pfama1.038_f0.0434296	pfama1.039_f0.134181	pfama1.040_f0.167342	pfama1.041_f0.99123	pfama1.042_f0.0331115	pfama1.043_f0.024863	pfama1.044_f0.00996016	pfama1.045_f0.00693123	pfama1.046_f0.00689448	pfama1.047_f0.00651773	pfama1.048_f1	pfama1.049_f0.547764	pfama1.050_f0.189107	pfama1.051_f0.156699	pfama1.052_f0.129074	pfama1.053_f0.102685	pfama1.054_f0.0770741	pfama1.055_f0.0581443	pfama1.056_f0.0481971	pfama1.057_f0.046729	pfama1.058_f0.0420988	pfama1.059_f0.0415404	pfama1.060_f0.0407407	pfama1.061_f0.0398148	pfama1.062_f0.0314815	pfama1.063_f0.0302718	pfama1.064_f0.0293823	pfama1.065_f0.0291132	pfama1.066_f0.0285229	pfama1.067_f0.027863	pfama1.068_f0.0272986	pfama1.069_f0.0235575	pfama1.070_f0.0233161	pfama1.071_f0.0213213	pfama1.072_f0.0211432	pfama1.073_f0.0211301	pfama1.074_f0.0199696	pfama1.075_f0.01785	pfama1.076_f0.0171178	pfama1.077_f0.0164427	pfama1.078_f0.0157345	pfama1.079_f0.0148084	pfama1.080_f0.0147271	pfama1.081_f0.0144384	pfama1.082_f0.0142253	pfama1.083_f0.0133005	pfama1.084_f0.0130001	pfama1.085_f0.0129534	pfama1.086_f0.0129534	pfama1.087_f0.0129534	pfama1.088_f0.0127462	pfama1.089_f0.0126288	pfama1.090_f0.0121696	pfama1.091_f0.0119136	pfama1.092_f0.0118394	pfama1.093_f0.0117901	pfama1.094_f0.0116081	pfama1.095_f0.0107991	pfama1.096_f0.0103627	pfama1.097_f0.0103627	pfama1.098_f0.0101626	pfama1.099_f0.00996333	pfama1.100_f0.00921659	pfama1.101_f0.00920691	pfama1.102_f0.00905722	pfama1.103_f0.00872234	pfama1.104_f0.00863931	pfama1.105_f0.00830436	pfama1.106_f0.00826556	pfama1.107_f0.00802396	pfama1.108_f0.00800106	pfama1.109_f0.00799846	pfama1.110_f0.00785399	pfama1.111_f0.00782155	pfama1.112_f0.00773814	pfama1.113_f0.00773656	pfama1.114_f0.00767044	pfama1.115_f0.00765375	pfama1.116_f0.00753819	pfama1.117_f0.00750397	pfama1.118_f0.00746638	pfama1.119_f0.00739336	pfama1.120_f0.00729858	pfama1.121_f0.00727385	pfama1.122_f0.00700026	pfama1.123_f0.00697531	pfama1.124_f0.00691342	pfama1.125_f0.00683247	pfama1.126_f0.00683247	pfama1.127_f0.00679012	pfama1.128_f0.00676094	pfama1.129_f0.00672376	pfama1.130_f0.00656789	pfama1.131_f0.00652941	pfama1.132_f0.00634192	pfama1.133_f0.00629683	pfama1.134_f0.00625387	pfama1.135_f0.00617658	pfama1.136_f0.00616114	pfama1.137_f0.00611925	pfama1.138_f0.00609756	pfama1.139_f0.00609756	pfama1.140_f0.00605771	pfama1.141_f0.00592147	pfama1.142_f0.00584688	pfama1.143_f0.00584688	pfama1.144_f0.00584688	pfama1.145_f0.00578527	pfama1.146_f0.00578199	pfama1.147_f0.00569046	pfama1.148_f0.0056869
pfama1.031_f0.238997	10	8	4	2	9	3	11	14	4	8	3	12	12	11	12	10	12	13	5	6	7	10	6	6	8	6	8	7	8	6	5	0	9	8	12	6	10	5	3	11	7	7	1	8	9	13	9	5	13	11	11	11	14	4	9	4	12	11	5	4	5	5	6	5	4	9	11	13	13	9	11	13	4	11	5	4	9	4	4	4	11	9	4	12	4	13	12	13	5	13	4	7	4	5	9	6	11	13	12	9	7	13	3	13	6	5	5	9	5	11	4	5	4	5	5	12	5	4	9	11	13	4	7	5	13	12	12	5	10	11	4	4	11	9	10	4	13	14	12	10	9	12	8	8	8	4	13	8	4
pfama1.032_f1	1	9	12	11	12	10	6	7	11	9	8	9	9	2	5	7	5	8	8	7	10	3	7	5	7	7	10	12	11	13	8	9	0	9	3	7	7	10	12	8	8	12	10	5	10	8	2	11	6	2	2	2	7	9	10	9	5	8	12	9	12	12	13	12	11	10	2	4	6	10	2	4	11	2	12	11	10	9	11	9	2	2	9	7	9	4	3	4	13	10	11	14	9	12	8	9	2	4	3	10	14	4	12	4	9	13	12	10	12	10	9	13	9	12	12	3	12	9	8	6	6	9	10	12	10	7	7	12	13	2	9	11	8	10	13	8	6	9	3	3	10	7	13	11	13	9	6	13	11
pfama1.033_f0.9986	10	2	8	8	9	9	9	6	8	6	7	4	6	11	6	4	8	7	11	10	9	6	6	6	6	6	10	5	4	6	9	8	9	0	8	6	6	9	7	5	7	9	9	8	3	7	11	9	7	11	11	11	8	8	3	8	4	5	9	8	9	9	10	7	10	3	11	9	9	3	11	9	10	11	9	10	3	8	10	8	11	9	8	10	8	9	12	9	9	5	10	11	8	9	3	12	11	9	12	3	7	9	9	9	12	9	9	3	9	5	8	9	8	9	9	12	9	8	5	9	9	8	1	9	5	10	10	9	10	11	8	10	5	3	10	8	9	8	12	10	3	10	10	10	10	8	9	8	10
pfama1.034_f0.907821	2	8	11	12	10	11	7	4	14	8	11	8	6	3	4	6	4	7	9	10	10	2	10	8	8	8	10	11	10	12	10	12	3	8	0	10	8	11	11	7	9	11	13	6	9	5	3	10	3	3	3	3	6	12	9	12	4	7	15	12	15	14	16	13	12	9	3	1	5	9	3	1	12	3	15	12	9	12	12	12	3	3	12	8	12	1	4	1	12	9	12	17	12	15	7	10	3	1	4	9	13	1	13	1	10	12	15	9	15	9	10	12	12	15	15	4	15	12	7	5	5	12	9	15	9	8	8	15	11	3	12	12	7	9	11	11	5	8	4	4	9	8	12	10	12	12	5	11	12
pfama1.035_f0.625184	8	6	10	6	11	5	9	10	4	2	7	6	10	9	8	8	8	11	7	6	9	8	4	4	6	2	10	9	8	6	7	6	7	6	10	0	4	5	9	5	1	7	7	8	7	11	9	11	9	9	9	9	12	8	7	8	8	9	5	8	5	5	6	5	6	7	9	11	9	7	9	11	6	9	5	6	7	8	6	8	9	9	8	10	8	11	10	11	11	7	6	7	8	5	7	8	9	11	10	7	7	11	7	11	8	11	5	7	5	7	4	11	8	5	5	10	5	8	9	9	9	8	7	5	7	10	10	5	12	9	8	6	9	7	12	8	9	12	10	8	7	10	8	8	8	8	9	12	6
pfama1.036_f0.19347	8	6	12	8	11	7	7	8	8	4	9	4	10	9	6	8	6	9	7	8	9	6	4	6	6	4	10	9	8	8	9	10	7	6	8	4	0	7	11	1	5	7	11	10	7	9	9	13	7	9	9	9	10	10	7	10	6	9	9	10	9	9	10	7	8	7	9	9	7	7	9	9	8	9	9	8	7	10	8	10	9	9	10	8	10	9	10	9	13	5	8	11	10	9	7	8	9	9	10	7	9	9	9	9	8	13	9	7	9	5	6	13	10	9	9	10	9	10	9	7	7	10	7	9	5	8	8	9	12	9	10	8	9	7	12	9	7	10	10	8	7	8	8	8	8	10	7	12	8
pfama1.037_f0.142287	11	9	7	3	6	2	8	11	5	5	6	9	11	10	11	11	9	10	4	5	4	9	7	7	5	3	5	8	7	5	6	5	10	9	11	5	7	0	6	8	6	6	6	9	10	10	10	8	10	12	12	12	11	7	10	7	11	12	6	7	6	6	7	4	3	10	12	12	10	10	12	12	3	12	6	3	10	7	3	7	12	12	7	9	7	12	13	12	8	10	3	8	7	6	10	5	12	12	13	10	6	12	4	12	5	8	6	10	6	8	3	8	7	6	6	13	6	7	10	8	10	7	8	6	10	9	9	6	7	12	7	3	12	10	7	7	10	11	13	11	10	9	7	7	7	7	10	7	2
pfama1.038_f0.0434296	13	7	1	3	6	4	12	13	7	9	6	11	11	14	11	9	13	12	6	9	8	9	9	9	9	7	9	6	7	5	8	3	12	7	11	9	11	6	0	10	10	6	2	11	8	12	12	2	12	14	14	14	13	7	8	7	11	10	8	7	8	8	9	6	5	8	14	12	14	8	14	12	5	14	8	5	8	7	5	7	14	12	7	13	7	12	15	12	2	12	5	10	7	8	8	7	14	12	15	8	6	12	4	12	7	2	8	8	8	10	5	2	7	8	8	15	8	7	8	12	14	7	6	8	12	13	13	8	7	14	7	5	10	8	7	7	14	13	15	13	8	13	7	7	7	7	14	5	5
pfama1.039_f0.134181	9	5	11	9	10	8	8	7	9	5	10	3	9	10	5	7	7	8	8	9	10	5	5	7	7	5	11	8	7	7	10	11	8	5	7	5	1	8	10	0	6	6	12	11	6	8	10	12	6	10	10	10	9	11	6	11	5	8	10	11	10	10	11	8	9	6	10	8	8	6	10	8	9	10	10	9	6	11	9	11	10	10	11	9	11	8	11	8	12	4	9	12	11	10	6	9	10	8	11	6	8	8	10	8	9	12	10	6	10	4	7	12	11	10	10	11	10	11	8	8	8	11	6	10	4	9	9	10	11	10	11	9	8	6	11	10	8	9	11	9	6	9	7	7	7	11	8	11	9
pfama1.040_f0.167342	7	7	11	7	11	6	10	9	5	1	8	7	9	8	9	9	7	12	8	7	9	9	5	5	7	3	10	10	9	7	7	7	8	7	9	1	5	6	10	6	0	8	8	7	8	10	8	12	8	8	8	8	13	9	8	9	9	10	6	9	6	5	7	6	7	8	8	10	8	8	8	10	7	8	6	7	8	9	7	9	8	8	9	11	9	10	9	10	12	8	7	8	9	6	8	9	8	10	9	8	8	10	8	10	9	12	6	8	6	8	5	12	9	6	6	9	6	9	10	8	8	9	8	6	8	11	11	6	12	8	9	7	10	8	12	9	8	13	9	7	8	11	9	9	9	9	8	12	7
pfama1.041_f0.99123	13	7	7	5	10	4	10	11	7	7	10	7	11	14	7	9	11	10	4	9	10	9	9	11	11	7	11	6	7	3	10	7	12	9	11	7	7	6	6	6	8	0	8	15	8	10	12	8	10	14	14	14	11	11	8	11	9	10	8	11	8	8	9	6	5	8	14	12	12	8	14	12	5	14	8	5	8	11	5	11	14	14	11	11	11	12	15	12	8	8	5	10	11	8	8	5	14	12	15	8	4	12	6	12	5	8	8	8	8	6	5	8	11	8	8	15	8	11	8	10	12	11	8	8	8	11	11	8	11	14	11	5	10	8	11	10	12	11	15	13	8	11	1	1	1	11	12	11	5
pfama1.042_f0.0331115	11	9	3	3	8	4	12	15	5	9	4	13	13	12	13	11	13	14	6	7	8	11	7	7	9	7	9	8	9	7	6	1	10	9	13	7	11	6	2	12	8	8	0	9	10	14	10	4	14	12	12	12	15	5	10	5	13	12	6	5	6	6	7	6	5	10	12	14	14	10	12	14	5	12	6	5	10	5	5	5	12	10	5	13	5	14	13	14	4	14	5	8	5	6	10	7	12	14	13	10	8	14	4	14	7	4	6	10	6	12	5	4	5	6	6	13	6	5	10	12	14	5	8	6	14	13	13	6	9	12	5	5	12	10	9	5	14	15	13	11	10	13	9	9	9	5	14	7	5
pfama1.043_f0.024863	4	8	12	10	10	11	7	6	10	8	7	12	4	3	8	6	4	9	13	8	8	6	8	6	4	8	9	11	8	12	8	8	5	8	6	8	10	9	11	11	7	15	9	0	9	7	5	11	5	5	5	5	10	8	9	8	8	7	11	8	11	10	12	11	12	9	5	7	5	9	5	7	12	5	11	12	9	8	12	8	5	3	8	8	8	7	6	7	13	13	12	13	8	11	7	14	5	7	6	9	13	7	11	7	14	13	11	9	11	13	10	13	8	11	11	6	11	8	7	5	5	8	9	11	13	8	8	11	11	5	8	12	7	9	11	8	5	10	6	6	9	8	16	14	16	8	5	9	11
pfama1.044_f0.00996016	11	1	9	9	10	10	10	9	9	7	8	7	5	12	5	3	9	10	12	11	10	7	7	7	7	7	11	4	3	5	10	9	10	3	9	7	7	10	8	6	8	8	10	9	0	10	12	10	8	12	12	12	11	7	2	9	7	4	10	9	10	10	11	8	11	2	12	10	10	2	12	10	11	12	10	11	2	9	11	9	12	10	9	11	9	10	13	10	10	8	11	12	9	10	2	13	12	10	13	2	6	10	10	10	13	10	10	2	10	8	9	10	9	10	10	13	10	9	4	10	10	9	4	10	8	11	11	10	11	12	9	11	4	2	11	9	10	9	13	11	2	11	9	9	9	9	10	9	11
pfama1.045_f0.00693123	7	9	13	13	9	12	4	1	13	9	12	7	5	6	5	7	3	2	12	11	9	5	9	11	9	11	10	10	7	11	11	13	8	7	5	11	9	10	12	8	10	10	14	7	10	0	6	12	2	8	8	8	3	13	10	13	3	8	14	13	14	13	15	12	13	10	8	6	4	10	8	6	13	8	14	13	10	13	13	13	8	8	13	5	13	6	9	6	14	8	13	16	13	14	8	13	8	6	9	10	12	6	14	6	13	14	14	10	14	6	13	14	13	14	14	9	14	13	6	2	4	13	6	14	8	5	5	14	10	8	13	13	8	10	10	12	4	3	9	9	10	5	11	9	11	13	4	10	12
pfama1.046_f0.00689448	1	11	12	11	11	10	6	7	11	9	8	11	9	2	7	9	5	8	8	7	9	5	7	7	9	9	9	12	11	13	7	9	2	11	3	9	9	10	12	10	8	12	10	5	12	6	0	11	6	2	2	2	7	9	12	9	7	10	12	9	12	11	13	12	11	12	2	4	6	12	2	4	11	2	12	11	12	9	11	9	2	2	9	7	9	4	3	4	13	12	11	14	9	12	10	9	2	4	3	12	14	4	12	4	9	13	12	12	12	10	11	13	9	12	12	3	12	9	8	4	6	9	10	12	12	7	7	12	12	2	9	11	10	12	12	8	6	9	3	3	12	7	13	11	13	9	6	12	11
pfama1.047_f0.00651773	12	9	1	5	8	6	12	13	9	11	8	13	11	13	11	9	13	12	7	9	10	9	11	11	9	9	9	8	9	7	10	5	11	9	10	11	13	8	2	12	12	8	4	11	10	12	11	0	12	13	13	13	12	9	10	9	11	10	10	9	10	10	11	8	7	10	13	11	14	10	13	11	7	13	10	7	10	9	7	9	13	11	9	13	9	11	14	11	2	14	7	12	9	10	8	8	13	11	14	10	8	11	6	11	8	2	10	10	10	12	7	2	9	10	10	14	10	9	8	12	14	9	8	10	14	13	13	10	9	13	9	7	10	10	9	9	14	13	14	14	10	13	9	7	9	9	14	7	7
pfama1.048_f1	5	7	13	13	9	12	4	1	13	7	12	7	3	4	3	5	1	4	12	11	9	3	9	9	7	9	10	10	7	11	11	13	6	7	3	9	7	10	12	6	8	10	14	5	8	2	6	12	0	6	6	6	5	13	8	13	3	6	14	13	14	13	15	12	13	8	6	4	2	8	6	4	13	6	14	13	8	13	13	13	6	6	13	5	13	4	7	4	14	8	13	16	13	14	6	13	6	4	7	8	12	4	14	4	13	14	14	8	14	8	11	14	13	14	14	7	14	13	6	2	2	13	8	14	8	5	5	14	10	6	13	13	6	8	10	12	2	5	7	7	8	5	11	9	11	13	2	10	12
pfama1.049_f0.547764	1	11	14	13	13	12	8	7	13	9	10	11	9	2	7	9	5	10	10	9	11	5	9	7	9	9	11	14	13	15	9	11	2	11	3	9	9	12	14	10	8	14	12	5	12	8	2	13	6	0	2	2	9	11	12	11	7	10	14	11	14	13	15	14	13	12	2	4	6	12	2	4	13	2	14	13	12	11	13	11	2	2	11	9	11	4	3	4	15	12	13	16	11	14	10	11	2	4	1	12	16	4	14	4	11	15	14	12	14	12	11	15	11	14	14	3	14	11	10	6	6	11	12	14	12	9	9	14	14	2	11	13	10	12	14	10	6	11	1	1	12	9	15	13	15	11	6	14	13
pfama1.050_f0.189107	1	11	14	13	13	12	8	7	13	9	10	11	9	2	7	9	5	10	10	9	11	5	9	7	9	9	11	14	13	15	9	11	2	11	3	9	9	12	14	10	8	14	12	5	12	8	2	13	6	2	0	2	9	11	12	11	7	10	14	11	14	13	15	14	13	12	2	4	6	12	2	4	13	2	14	13	12	11	13	11	2	2	11	9	11	4	3	4	15	12	13	16	11	14	10	11	2	4	3	12	16	4	14	4	11	15	14	12	14	12	11	15	11	14	14	1	14	11	10	6	6	11	12	14	12	9	9	14	14	2	11	13	10	12	14	10	6	11	3	3	12	9	15	13	15	11	6	14	13
pfama1.051_f0.156699	1	11	14	13	13	12	8	7	13	9	10	11	9	2	7	9	5	10	10	9	11	5	9	7	9	9	11	14	13	15	9	11	2	11	3	9	9	12	14	10	8	14	12	5	12	8	2	13	6	2	2	0	9	11	12	11	7	10	14	11	14	13	15	14	13	12	2	4	6	12	2	4	13	2	14	13	10	11	13	11	2	2	11	9	11	4	3	4	15	12	13	16	11	14	10	11	2	4	3	12	16	4	14	4	11	15	14	12	14	12	11	15	11	14	14	3	14	11	10	6	6	11	12	14	12	9	9	14	14	2	11	13	10	12	14	10	6	11	3	3	12	9	15	13	15	11	6	14	13
pfama1.052_f0.129074	8	10	13	14	11	13	3	4	14	12	13	8	8	7	6	8	6	1	11	12	11	6	10	12	10	12	11	11	8	12	13	14	7	8	6	12	10	11	13	9	13	11	15	10	11	3	7	12	5	9	9	9	0	14	11	14	4	9	15	14	15	15	16	13	14	11	9	7	7	11	9	7	14	9	15	14	11	14	14	14	9	9	14	4	14	7	10	7	14	9	14	17	14	15	9	12	9	7	10	11	13	7	15	7	12	14	15	11	15	7	14	14	14	15	15	10	13	14	7	5	7	14	7	15	9	4	4	15	12	9	14	14	9	11	12	13	7	2	10	10	11	4	12	10	12	14	7	12	13
pfama1.053_f0.102685	10	8	8	6	8	7	11	14	6	10	1	12	12	11	12	10	12	13	9	6	6	10	6	6	8	8	7	5	8	8	4	4	9	8	12	8	10	7	7	11	9	11	5	8	7	13	9	9	13	11	11	11	14	0	9	2	12	11	7	2	7	7	8	7	8	9	11	13	13	9	11	13	8	11	7	8	9	2	8	2	11	9	2	12	2	13	12	13	9	13	8	9	2	7	9	10	11	13	12	9	9	13	7	13	10	9	7	9	7	11	8	9	2	7	7	12	7	2	9	11	13	2	7	7	13	12	12	7	9	11	2	8	11	9	9	2	13	12	12	10	9	12	12	12	12	2	13	7	8
pfama1.054_f0.0770741	11	1	9	9	10	10	10	9	9	7	8	7	5	12	5	3	9	10	12	11	10	7	7	7	7	7	11	4	3	5	10	9	10	3	9	7	7	10	8	6	8	8	10	9	2	10	12	10	8	12	12	12	11	9	0	9	7	4	10	9	10	10	11	8	11	2	12	10	10	2	12	10	11	12	10	11	2	9	11	9	12	10	9	11	9	10	13	10	10	8	11	12	9	10	2	13	12	10	13	2	6	10	10	10	13	10	10	2	10	8	9	10	9	10	10	13	10	9	4	10	10	9	4	10	8	11	11	10	11	12	9	11	4	2	11	9	10	11	13	11	2	11	9	9	9	9	10	9	11
pfama1.055_f0.0581443	10	8	8	6	8	7	11	14	6	10	1	12	12	11	12	10	12	13	9	6	6	10	6	6	8	8	7	5	8	8	4	4	9	8	12	8	10	7	7	11	9	11	5	8	9	13	9	9	13	11	11	11	14	2	9	0	12	11	7	2	7	7	8	7	8	9	11	13	13	9	11	13	8	11	7	8	9	2	8	2	11	9	2	12	2	13	12	13	9	13	8	9	2	7	9	10	11	13	12	9	9	13	7	13	10	9	7	9	7	11	8	9	2	7	7	12	7	2	9	11	13	2	7	7	13	12	12	7	9	11	2	8	11	9	9	2	13	14	12	10	9	12	12	12	12	2	13	7	8
pfama1.056_f0.0481971	6	6	12	12	11	11	5	2	12	8	11	4	6	7	2	4	4	3	11	10	11	2	8	8	8	8	12	9	8	10	11	12	5	4	4	8	6	11	11	5	9	9	13	8	7	3	7	11	3	7	7	7	4	12	7	12	0	5	13	12	13	13	14	11	12	7	7	5	5	7	7	5	12	7	13	12	7	12	12	12	7	7	12	6	12	5	8	5	13	5	12	15	12	13	5	12	7	5	8	7	11	5	13	5	12	13	13	7	13	5	10	13	12	13	13	8	13	12	5	5	5	12	5	13	5	6	6	13	12	7	12	12	5	7	12	11	5	4	8	8	7	6	10	8	10	12	5	12	12
pfama1.057_f0.046729	9	3	11	11	12	12	8	7	11	9	10	9	3	10	3	1	7	8	14	11	12	5	9	9	7	9	13	6	5	7	12	11	8	5	7	9	9	12	10	8	10	10	12	7	4	8	10	10	6	10	10	10	9	11	4	11	5	0	12	11	12	12	13	10	13	4	10	8	8	4	10	8	13	10	12	13	4	11	13	11	10	8	11	9	11	8	11	8	12	10	13	14	11	12	2	15	10	8	11	4	8	8	12	8	15	12	12	4	12	10	11	12	11	12	12	11	12	11	2	8	8	11	6	12	10	9	9	12	13	10	11	13	2	2	13	11	8	9	11	11	4	9	11	9	11	11	8	11	13
pfama1.058_f0.0420988	13	9	9	5	12	6	12	15	1	7	6	11	13	14	13	11	13	14	8	5	10	13	7	7	9	7	11	8	9	5	8	5	12	9	15	5	9	6	8	10	6	8	6	11	10	14	12	10	14	14	14	14	15	7	10	7	13	12	0	7	2	2	1	2	7	10	14	16	14	10	14	16	7	14	2	7	10	7	7	7	14	12	7	13	7	16	15	16	10	12	7	2	7	2	10	9	14	16	15	10	6	16	6	15	9	10	2	10	2	10	7	10	7	2	2	15	2	7	10	12	14	7	8	2	12	13	13	2	13	14	7	7	12	10	13	7	14	15	15	13	10	13	9	9	9	7	14	11	7
pfama1.059_f0.0415404	10	8	8	6	8	7	11	14	6	10	1	12	12	11	12	10	12	13	9	6	6	10	6	6	8	8	7	5	8	8	4	4	9	8	12	8	10	7	7	11	9	11	5	8	9	13	9	9	13	11	11	11	14	2	9	2	12	11	7	0	7	7	8	7	8	9	11	13	13	9	11	13	8	11	7	8	9	2	8	2	11	9	2	12	2	13	12	13	9	13	8	9	2	7	9	10	11	13	12	9	9	13	7	13	10	9	7	9	7	11	8	9	2	7	7	12	7	2	9	11	13	2	7	7	13	10	12	7	9	11	2	8	11	9	9	2	13	14	12	10	9	12	12	12	12	2	13	7	8
pfama1.060_f0.0407407	13	9	9	5	12	6	12	15	1	7	6	11	13	14	13	11	13	14	8	5	10	13	7	7	9	7	11	8	9	5	8	5	12	9	15	5	9	6	8	10	6	8	6	11	10	14	12	10	14	14	14	14	15	7	10	7	13	12	2	7	0	2	1	2	7	10	14	16	14	10	14	16	7	14	2	7	10	7	7	7	14	12	7	13	7	16	15	16	10	12	7	2	7	2	10	9	14	16	15	10	6	16	6	16	9	10	2	10	2	10	7	10	7	2	2	15	2	7	10	12	14	7	8	2	12	13	13	2	13	14	7	7	12	10	13	7	14	15	15	13	10	13	9	9	9	7	14	11	7
pfama1.061_f0.0398148	12	9	9	5	11	6	12	14	1	6	6	11	12	13	13	11	12	14	8	5	9	13	7	7	9	7	10	8	9	5	7	5	12	9	14	5	9	6	8	10	5	8	6	10	10	13	11	10	13	13	13	13	15	7	10	7	13	12	2	7	2	0	3	2	7	10	13	15	13	10	13	15	7	13	2	7	10	7	7	7	13	11	7	13	7	15	14	15	10	12	7	4	7	2	10	9	13	15	14	10	6	15	6	15	9	10	2	10	2	10	7	10	7	2	2	14	2	7	10	11	13	7	8	2	12	13	13	2	12	13	7	7	12	10	12	7	13	15	14	12	10	13	9	9	9	7	13	10	7
pfama1.062_f0.0314815	14	10	10	6	13	7	13	16	2	8	7	12	14	15	14	12	14	15	9	6	11	14	8	8	10	8	12	9	10	6	9	6	13	10	16	6	10	7	9	11	7	9	7	12	11	15	13	11	15	15	15	15	16	8	11	8	14	13	1	8	1	3	0	3	8	11	15	17	15	11	15	17	8	15	3	8	11	8	8	8	15	13	8	14	8	17	16	17	11	13	8	1	8	3	11	10	15	17	16	11	7	17	7	16	10	11	3	11	3	11	8	11	8	3	3	16	3	8	11	13	15	8	9	3	13	14	14	3	14	15	8	8	13	11	14	8	15	16	16	14	11	14	10	10	10	8	15	12	8
pfama1.063_f0.0302718	13	7	7	3	10	4	10	13	1	5	6	9	11	14	11	9	11	12	6	5	8	11	7	7	7	5	9	6	7	3	8	5	12	7	13	5	7	4	6	8	6	6	6	11	8	12	12	8	12	14	14	14	13	7	8	7	11	10	2	7	2	2	3	0	5	8	14	14	12	8	14	14	5	14	2	5	8	7	5	7	14	12	7	11	7	14	15	14	8	10	5	4	7	2	8	7	14	14	15	8	4	14	4	14	7	8	2	8	2	8	5	8	7	2	2	15	2	7	8	10	12	7	6	2	10	11	11	2	11	14	7	5	10	8	11	7	12	13	15	13	8	11	7	7	7	7	12	9	5
pfama1.064_f0.0293823	12	10	6	2	9	1	11	14	6	6	7	10	14	13	12	12	12	13	3	6	7	10	8	8	8	4	8	9	10	6	7	4	11	10	12	6	8	3	5	9	7	5	5	12	11	13	11	7	13	13	13	13	14	8	11	8	12	13	7	8	7	7	8	5	0	11	13	13	13	11	13	13	2	13	7	2	11	8	2	8	13	13	8	12	8	13	14	13	7	11	2	9	8	7	11	4	13	13	14	11	7	13	3	13	4	7	7	11	7	9	2	7	8	7	7	14	7	8	11	11	13	8	9	7	11	12	12	7	10	13	8	2	13	11	10	8	13	14	14	12	11	12	6	6	6	8	13	10	2
pfama1.065_f0.0291132	11	1	9	9	10	10	10	9	9	7	8	7	5	12	5	3	9	10	12	11	10	7	7	7	7	7	11	4	3	5	10	9	10	3	9	7	7	10	8	6	8	8	10	9	2	10	12	10	8	12	12	12	11	9	2	9	7	4	10	9	10	10	11	8	11	0	12	10	8	2	12	10	11	12	10	11	2	9	11	9	12	10	9	11	9	10	13	10	10	8	11	12	9	10	2	13	12	10	13	2	6	10	10	10	13	10	10	2	10	8	9	10	9	10	10	13	10	9	4	10	10	9	4	10	8	11	11	10	11	12	9	11	4	2	11	9	10	11	13	11	2	11	9	9	9	9	10	9	11
pfama1.066_f0.0285229	1	11	14	13	13	12	8	7	13	9	10	11	9	2	7	9	5	10	10	9	11	5	9	7	9	9	11	14	13	15	9	11	2	11	3	9	9	12	14	10	8	14	12	5	12	8	2	13	6	2	2	2	9	11	12	11	7	10	14	11	14	13	15	14	13	12	0	4	6	12	2	4	13	2	14	13	12	11	13	11	2	2	11	9	11	4	3	4	15	12	13	16	11	14	10	11	2	4	3	12	16	4	14	4	11	15	14	12	14	12	11	15	11	14	14	3	14	11	10	6	6	11	12	14	12	9	9	14	14	2	11	13	10	12	14	10	6	11	3	3	12	9	15	13	15	11	6	14	13
pfama1.067_f0.027863	3	9	12	13	11	12	8	5	15	9	12	9	7	4	5	7	5	8	10	11	11	3	11	9	9	9	11	12	11	13	11	13	4	9	1	11	9	12	12	8	10	12	14	7	10	6	4	11	4	4	4	4	7	13	10	13	5	8	16	13	16	15	17	14	13	10	4	0	6	10	4	2	13	4	16	13	10	13	13	13	4	4	13	9	13	2	5	2	13	10	13	18	13	16	8	11	4	2	5	10	14	2	14	2	11	13	16	10	16	10	11	13	13	16	16	5	16	13	8	6	6	13	10	16	10	9	9	16	12	4	13	13	8	10	12	12	6	9	5	5	10	9	13	11	13	13	6	12	13
pfama1.068_f0.0272986	5	9	15	13	11	12	4	3	13	7	12	9	5	4	5	7	1	6	12	11	9	5	9	9	7	9	10	12	9	13	11	13	6	9	5	9	7	10	14	8	8	12	14	5	10	4	6	14	2	6	6	6	7	13	10	13	5	8	14	13	14	13	15	12	13	8	6	6	0	10	6	6	13	6	14	13	10	13	13	13	6	6	13	5	13	6	7	6	16	10	13	16	13	14	8	13	6	6	7	10	14	6	14	6	13	16	14	10	14	10	11	16	13	14	14	7	14	13	8	2	2	13	10	14	10	5	5	14	12	6	13	13	8	10	12	12	2	7	7	7	10	5	13	11	13	13	2	12	12
